"","Provincias","Latitud","Longitud"
"1","Araba/Álava","42.83333","-2.75"
"2","Albacete","38.83333","-2"
"3","Alicante/Alacant","38.5","-0.5"
"4","Almería","37.16667","-2.33333"
"5","Ávila","40.58333","-5"
"6","Badajoz","38.66667","-6.16667"
"7","Balears, Illes","39.60992","3.02948"
"8","Barcelona","41.66667","2"
"9","Burgos","42.33939","-3.70789"
"10","Cáceres","39.52205","-6.37482"
"11","Cádiz","36.5","-5.75"
"12","Castellón /Castelló","40.16667","-0.16667"
"13","Ciudad Real","39","-4"
"14","Córdoba","38","-4.83333"
"15","Coruña, A","43.16667","-8.41667"
"16","Cuenca","40","-2"
"17","Girona","41.98916","2.81113"
"18","Granada","37.25","-3.25"
"19","Guadalajara","40.83333","-2.5"
"20","Gipuzkoa","43.16667","-2.16667"
"21","Huelva","37.66667","-7"
"22","Huesca","42.16667","-0.16667"
"23","Jaén","38","-3.5"
"24","León","42.66667","-6"
"25","Lleida","41.61878","0.57472"
"26","Rioja, La","42.46311","-2.42455"
"27","Lugo","43","-7.5"
"28","Madrid","40.40225","-3.71029"
"29","Málaga","36.8","-4.75"
"30","Murcia","37.98662","-1.14146"
"31","Navarra","42.8233","-1.65138"
"32","Ourense","42.16667","-7.5"
"33","Asturias","43.36662","-5.86112"
"34","Palencia","42.41667","-4.5"
"35","Palmas, Las","28.42039","-14.01306"
"36","Pontevedra","42.5","-8.5"
"37","Salamanca","40.83333","-6"
"38","Santa Cruz de Tenerife","28.16667","-17.33333"
"39","Cantabria","43.16667","-4"
"40","Segovia","41.16667","-4"
"41","Sevilla","37.44701","-5.69608"
"42","Soria","41.66667","-2.66667"
"43","Tarragona","41.12902","1.24901"
"44","Teruel","40.66667","-0.66667"
"45","Toledo","39.83333","-4"
"46","Valencia/València","39.33333","-0.83333"
"47","Valladolid","41.58333","-4.66667"
"48","Bizkaia","43.25","-2.91667"
"49","Zamora","41.75","-6"
"50","Zaragoza","41.58333","-1"
"51","Ceuta","35.88794","-5.30786"
"52","Melilla","35.29551","-2.94219"
